City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Ambilobe,MG,77.97,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
471,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
479,Vaitape,PF,81.23,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
481,Kieta,PG,79.97,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
482,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,Timotel Hotel
487,Simoes,BR,80.02,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
489,Sokoni,TZ,80.74,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
493,Banda Aceh,ID,77.58,scattered clouds,5.5577,95.3222,Sulthan Hotel International
501,Patos,BR,88.0,overcast clouds,-7.0244,-37.28,Hotel JK
506,Eirunepe,BR,82.8,overcast clouds,-6.6603,-69.8736,Atrás de você
507,Fare,PF,80.67,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
508,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
509,Maragogi,BR,80.15,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
515,Cap Malheureux,MU,78.48,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
519,Am Timan,TD,83.7,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
521,Biak,ID,76.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
533,Wamba,NG,79.81,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
538,Sola,VU,79.25,overcast clouds,-13.8833,167.55,Leumerus Bungalows
546,Caravelas,BR,78.13,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
553,Canutama,BR,82.08,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
556,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
558,Tsiroanomandidy,MG,77.31,broken clouds,-18.7667,46.0333,Hotel du Bongolave
563,Majene,ID,78.85,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
564,Neiafu,TO,84.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
567,Vallenar,CL,87.98,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
570,Omboue,GA,78.51,overcast clouds,-1.5746,9.2618,Hotel Olako
571,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
576,Cocobeach,GA,76.93,overcast clouds,1.0002,9.5823,Hotel Esperance
579,Porangatu,BR,80.58,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
582,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
586,Ternate,ID,78.55,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
587,Totness,SR,81.99,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
589,Bella Union,UY,86.68,overcast clouds,-30.2752,-57.6007,Saville Free Shop
591,Santa Maria,BR,88.9,clear sky,-29.6842,-53.8069,Hotel Morotin
593,Bathsheba,BB,81.1,overcast clouds,13.2167,-59.5167,Atlantis Hotel
596,Kottayam,IN,77.02,overcast clouds,9.5833,76.5167,Hotel Anjali Park
597,Ankpa,NG,81.64,broken clouds,7.3706,7.6253,AA Suites
599,La Joya,MX,85.39,clear sky,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
604,Les Cayes,HT,84.51,scattered clouds,18.2,-73.75,Villa Orphee
605,Neuquen,AR,75.09,broken clouds,-38.9516,-68.0591,Hotel del Comahue
606,Kokopo,PG,77.76,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
612,Quelimane,MZ,82.35,clear sky,-17.8786,36.8883,Hotel Flamingo
615,Nauta,PE,82.36,moderate rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
616,Golfito,CR,82.35,broken clouds,8.639,-83.166,Banana Bay Marina
620,Cuamba,MZ,76.71,few clouds,-14.8031,36.5372,Hotel Vision
624,Mount Pleasant,US,75.18,clear sky,32.7941,-79.8626,Best Western Patriots Point
627,Vanimo,PG,77.54,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
628,Balikpapan,ID,75.9,light rain,-1.2675,116.8289,ibis Balikpapan
629,Meulaboh,ID,76.12,overcast clouds,4.1363,96.1285,Kost Pria
633,Axim,GH,80.26,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
639,Conceicao Das Alagoas,BR,85.78,broken clouds,-19.9147,-48.3883,Bouganville Hotel
641,Belawan,ID,75.49,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
646,Eyl,SO,77.23,overcast clouds,7.9803,49.8164,Amiin Hotel
649,Mercedes,AR,80.04,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
655,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
656,Siocon,PH,77.67,broken clouds,7.7061,122.1353,ABS Hotel
659,Jega,NG,78.03,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
661,Wad Madani,SD,83.05,clear sky,14.4012,33.5199,فندق يوغسلافيا
672,Guaraniacu,BR,80.17,broken clouds,-25.1008,-52.8781,Dalla´s Hotel
676,Kirakira,SB,80.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
677,Bolgatanga,GH,84.51,clear sky,10.7856,-0.8514,Mama's Place
686,Luganville,VU,79.99,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
687,Acarau,BR,83.43,broken clouds,-2.8856,-40.12,castelo pizzaria
688,San Ignacio,BZ,80.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
696,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
