City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
93,Sarai,53.7458,41.0213,28.92,79,20,8.3,few clouds,RU,2021-12-04 20:14:48
94,Norman Wells,65.282,-126.8329,-26.97,91,17,2.98,few clouds,CA,2021-12-04 20:10:10
95,Adrar,20.5022,-10.0711,69.04,14,61,11.61,broken clouds,MR,2021-12-04 20:11:05
96,Teguldet,57.3064,88.1667,20.62,93,100,9.37,overcast clouds,RU,2021-12-04 20:14:48
97,Kaitangata,-46.2817,169.8464,61.65,82,100,6.2,light rain,NZ,2021-12-04 20:14:49
98,Makakilo City,21.3469,-158.0858,70.61,69,75,3.44,broken clouds,US,2021-12-04 20:11:38
99,Raudeberg,61.9875,5.1352,35.2,93,100,4.0,snow,NO,2021-12-04 20:09:49
100,Coquimbo,-29.9533,-71.3436,64.13,72,20,17.27,few clouds,CL,2021-12-04 20:14:49
101,Vila Do Maio,15.1333,-23.2167,74.19,74,100,16.6,overcast clouds,CV,2021-12-04 20:14:49
102,Yershov,51.3513,48.2766,34.34,99,100,9.04,moderate rain,RU,2021-12-04 20:14:49
103,Abu Samrah,35.3029,37.1841,55.9,44,100,7.9,overcast clouds,SY,2021-12-04 20:14:50
104,Kodiak,57.79,-152.4072,20.71,79,90,0.0,overcast clouds,US,2021-12-04 20:14:50
105,Saldanha,-33.0117,17.9442,60.85,93,100,11.01,moderate rain,ZA,2021-12-04 20:14:09
106,Maceio,-9.6658,-35.7353,83.64,78,75,11.5,light rain,BR,2021-12-04 20:09:56
107,Ribeira Grande,38.5167,-28.7,63.0,88,75,3.44,broken clouds,PT,2021-12-04 20:13:00
108,Pacifica,37.6138,-122.4869,61.32,79,75,4.0,broken clouds,US,2021-12-04 20:12:27
109,Yagodnoye,62.55,149.6667,-41.96,100,52,3.85,broken clouds,RU,2021-12-04 20:14:51
110,Yellowknife,62.456,-114.3525,-24.59,88,30,7.96,scattered clouds,CA,2021-12-04 20:14:51
111,Beringovskiy,63.05,179.3167,13.75,96,100,6.69,light snow,RU,2021-12-04 20:14:51
112,Tual,-5.6667,132.75,83.12,78,100,12.06,overcast clouds,ID,2021-12-04 20:14:51
113,Salalah,17.0151,54.0924,74.41,44,0,3.42,clear sky,OM,2021-12-04 20:00:39
114,Port Hawkesbury,45.6169,-61.3485,27.99,75,47,5.99,scattered clouds,CA,2021-12-04 20:14:52
115,Steamboat Springs,40.485,-106.8317,55.11,41,1,0.0,clear sky,US,2021-12-04 20:10:34
116,Newry,54.1784,-6.3374,42.75,78,20,16.37,light rain,GB,2021-12-04 20:14:52
