City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Nemuro,JP,2021-11-29 23:48:45,43.3236,145.575,45.86,83,62,8.21
73,Saskylakh,RU,2021-11-29 23:48:45,71.9167,114.0833,-26.25,100,94,4.34
74,Qunduz,AF,2021-11-29 23:48:46,36.729,68.857,51.89,55,87,1.5
75,Husavik,IS,2021-11-29 23:48:46,66.0449,-17.3389,22.91,91,100,8.61
76,Katsuura,JP,2021-11-29 23:47:42,35.1333,140.3,51.19,67,57,17.27
77,Rassvet,RU,2021-11-29 23:48:47,46.8333,40.75,55.09,97,100,17.9
78,Antequera,ES,2021-11-29 23:48:47,37.0194,-4.5612,51.94,83,87,4.09
79,Saint George,US,2021-11-29 23:48:47,37.1041,-113.5841,73.35,21,1,1.99
80,Ranghulu,CN,2021-11-29 23:48:48,46.65,124.8667,13.96,94,99,3.83
81,Barrow,US,2021-11-29 23:48:48,71.2906,-156.7887,-18.38,69,40,9.22
82,Cidreira,BR,2021-11-29 23:48:48,-30.1811,-50.2056,73.89,60,37,13.94
83,Romanovskaya,RU,2021-11-29 23:48:49,47.5426,42.0285,49.26,72,100,12.3
84,Viedma,AR,2021-11-29 23:48:49,-40.8135,-62.9967,60.35,53,5,7.67
85,Hobart,AU,2021-11-29 23:46:38,-42.8794,147.3294,69.26,56,20,1.99
86,Bambous Virieux,MU,2021-11-29 23:48:49,-20.3428,57.7575,74.21,83,40,3.44
87,Cap Malheureux,MU,2021-11-29 23:48:50,-19.9842,57.6142,74.46,72,3,4.0
88,Hermanus,ZA,2021-11-29 23:48:50,-34.4187,19.2345,62.91,76,32,7.78
89,Sri Aman,MY,2021-11-29 23:48:50,1.2376,111.4621,71.65,94,82,0.0
90,Chokurdakh,RU,2021-11-29 23:48:51,70.6333,147.9167,-13.52,99,100,3.47
91,Yellowknife,CA,2021-11-29 23:47:07,62.456,-114.3525,-14.58,78,20,1.99
92,Vao,NC,2021-11-29 23:49:51,-22.6667,167.4833,76.55,89,39,13.42
93,Kota,IN,2021-11-29 23:49:51,25.1833,75.8333,64.11,52,100,3.06
94,Trelew,AR,2021-11-29 23:49:52,-43.249,-65.3051,61.14,52,1,12.53
95,Faanui,PF,2021-11-29 23:46:03,-16.4833,-151.75,80.56,78,100,13.53
96,Alcantara,BR,2021-11-29 23:49:52,-2.4089,-44.4147,82.6,87,91,7.74
97,Puerto Ayora,EC,2021-11-29 23:49:52,-0.7393,-90.3518,70.56,91,70,5.99
98,Saldanha,ZA,2021-11-29 23:49:53,-33.0117,17.9442,57.25,86,23,4.03
99,Thompson,CA,2021-11-29 23:45:24,55.7435,-97.8558,24.96,93,90,8.05
100,Wanning,CN,2021-11-29 23:49:53,18.8003,110.3967,68.25,80,48,10.89
